Trat,Rep,Local,kg/ha,US$/kg,US$/ha,IQS,Talo %,TotalSugar,AlcaloidesTotais
7,1,E16,4096,3.09,12638.76,71.1,35.1,9.6,4.63
7,2,E16,3693,3.21,11859.46,78,33,13.7,4.56
7,3,E16,3829,3.34,12771.28,77,34.2,10.8,4.62
8,1,E16,3766,2.99,11242.28,66.8,35.1,13.3,4.7
8,2,E16,4060,3.46,14028.09,80.7,32.8,11.1,4.85
8,3,E16,3638,3.11,11300.17,69.8,33.5,11.3,5.31
9,1,E16,3176,2.7,8570.73,61.6,31.4,12.4,4.06
9,2,E16,3622,3,10870.65,68.3,31.2,12.1,4
9,3,E16,3907,3.16,12345.79,77.4,31.1,10.7,3.78
10,1,E16,3475,2.79,9704.82,65.2,32,10.5,3.41
10,2,E16,4007,3.01,12068.25,67.8,29.5,15.4,3.43
10,3,E16,3516,2.69,9461.66,55.8,30.7,12.7,3.53
11,1,E16,3400,3.27,11110.3,78.2,32.4,11.5,4.8
11,2,E16,3868,3.35,12954.79,77.6,31.4,14.7,4.55
11,3,E16,3854,3.27,12600.82,76.1,32.7,13.2,4.77
12,1,E16,3360,2.77,9312.64,61.3,29.9,13.1,3.7
12,2,E16,3585,2.9,10405.12,64.2,31.2,12.2,3.71
12,3,E16,3574,2.66,9520.78,56.5,32,11.1,3.62
13,1,E16,3617,3.03,10953.27,66.5,33.8,9.7,5.03
13,2,E16,3566,3.09,11003.37,69.2,32.7,12.6,4.94
13,3,E16,3939,2.86,11266.26,62.8,34.4,8.7,4.64
14,1,E16,3220,2.71,8731.79,60.7,31.7,10.2,4.35
14,2,E16,3611,2.72,9816.55,62.8,30.2,12.4,4.26
14,3,E16,3676,2.8,10278,65.5,31.2,10.9,4.45
